Application_ID,Student_ID,Company_ID,Applied_Date,Source,Status
A0001,S293,C005,2025-08-08,Company Website,Rejected
A0002,S008,C027,2025-08-25,Company Website,Interview
A0003,S335,C021,2025-01-18,Referral,Selected
A0004,S168,C010,2025-05-08,Internshala,Applied
A0005,S216,C018,2025-11-05,Internshala,Selected
A0006,S216,C037,2025-12-12,Internshala,Selected
A0007,S090,C088,2025-06-05,Internshala,Shortlisted
A0008,S234,C099,2025-05-03,Company Website,Rejected
A0009,S193,C006,2025-10-26,LinkedIn,Shortlisted
A0010,S069,C025,2025-06-05,Referral,Interview
A0011,S396,C031,2025-06-10,Referral,Selected
A0012,S224,C061,2025-02-03,Referral,Interview
A0013,S433,C065,2025-03-22,Naukri,Selected
A0014,S123,C005,2025-01-17,Company Website,Interview
A0015,S419,C078,2025-12-03,LinkedIn,Rejected
A0016,S474,C011,2025-03-18,Company Website,Rejected
A0017,S485,C048,2025-11-04,Naukri,Applied
A0018,S494,C100,2025-02-19,Company Website,Shortlisted
A0019,S414,C025,2025-06-28,Company Website,Selected
A0020,S229,C032,2025-12-15,Internshala,Shortlisted
A0021,S317,C067,2025-04-02,LinkedIn,Interview
A0022,S234,C039,2025-03-26,Naukri,Shortlisted
A0023,S246,C099,2025-06-27,Internshala,Selected
A0024,S115,C001,2025-10-06,LinkedIn,Interview
A0025,S460,C041,2025-05-05,LinkedIn,Interview
A0026,S230,C052,2025-10-26,Naukri,Selected
A0027,S472,C064,2025-12-11,Naukri,Rejected
A0028,S467,C035,2025-09-24,Company Website,Rejected
A0029,S256,C009,2025-03-27,Company Website,Selected
A0030,S460,C052,2025-03-11,Company Website,Rejected
A0031,S300,C045,2025-10-03,Company Website,Selected
A0032,S360,C022,2025-10-14,Company Website,Applied
A0033,S496,C054,2025-01-19,LinkedIn,Selected
A0034,S275,C009,2025-01-26,Internshala,Applied
A0035,S078,C014,2025-11-08,Company Website,Selected
A0036,S072,C059,2025-08-12,Referral,Selected
A0037,S176,C093,2025-05-13,Company Website,Selected
A0038,S169,C084,2025-09-24,Referral,Shortlisted
A0039,S379,C031,2025-06-15,Referral,Applied
A0040,S352,C026,2025-11-26,Referral,Rejected
A0041,S425,C081,2025-09-03,LinkedIn,Applied
A0042,S493,C038,2025-08-11,Naukri,Interview
A0043,S456,C012,2025-01-24,Referral,Rejected
A0044,S393,C014,2025-05-27,Naukri,Selected
A0045,S073,C047,2025-11-01,Company Website,Shortlisted
A0046,S180,C024,2025-02-10,Referral,Shortlisted
A0047,S219,C027,2025-02-19,Internshala,Selected
A0048,S442,C096,2025-12-22,Referral,Selected
A0049,S230,C086,2025-10-12,Naukri,Interview
A0050,S306,C047,2025-03-01,LinkedIn,Shortlisted
A0051,S218,C079,2025-07-29,Company Website,Shortlisted
A0052,S036,C099,2025-08-05,LinkedIn,Applied
A0053,S179,C033,2025-07-04,Company Website,Selected
A0054,S389,C025,2025-11-18,Internshala,Selected
A0055,S356,C038,2025-09-17,Company Website,Rejected
A0056,S465,C034,2025-07-27,Company Website,Interview
A0057,S179,C093,2025-05-22,Company Website,Selected
A0058,S437,C062,2025-10-28,Company Website,Applied
A0059,S354,C070,2025-07-07,Company Website,Shortlisted
A0060,S494,C078,2025-08-01,Referral,Applied
A0061,S305,C094,2025-06-06,LinkedIn,Rejected
A0062,S168,C084,2025-06-14,LinkedIn,Selected
A0063,S313,C048,2025-05-25,Referral,Shortlisted
A0064,S124,C022,2025-06-07,LinkedIn,Rejected
A0065,S405,C007,2025-04-23,Referral,Applied
A0066,S487,C054,2025-04-09,Referral,Rejected
A0067,S225,C076,2025-01-09,Company Website,Shortlisted
A0068,S174,C074,2025-04-08,Referral,Rejected
A0069,S392,C099,2025-06-17,LinkedIn,Rejected
A0070,S026,C005,2025-10-17,Internshala,Selected
A0071,S167,C077,2025-11-23,Naukri,Shortlisted
A0072,S061,C078,2025-06-26,Naukri,Applied
A0073,S371,C069,2025-09-19,Internshala,Applied
A0074,S204,C057,2025-10-23,Internshala,Applied
A0075,S075,C057,2025-12-28,Company Website,Rejected
A0076,S232,C093,2025-08-15,Referral,Shortlisted
A0077,S182,C055,2025-06-25,Referral,Rejected
A0078,S235,C050,2025-04-10,LinkedIn,Selected
A0079,S329,C020,2025-01-22,Naukri,Shortlisted
A0080,S292,C055,2025-07-04,Referral,Selected
A0081,S492,C007,2025-11-06,LinkedIn,Shortlisted
A0082,S160,C029,2025-01-26,Referral,Shortlisted
A0083,S052,C082,2025-10-17,Internshala,Shortlisted
A0084,S155,C006,2025-07-22,Referral,Selected
A0085,S040,C045,2025-04-10,Company Website,Shortlisted
A0086,S087,C052,2025-08-28,Internshala,Applied
A0087,S089,C023,2025-10-25,Company Website,Shortlisted
A0088,S263,C083,2025-12-23,Company Website,Applied
A0089,S204,C016,2025-05-01,LinkedIn,Selected
A0090,S370,C082,2025-06-09,Internshala,Rejected
A0091,S333,C013,2025-06-26,Referral,Rejected
A0092,S244,C078,2025-05-06,Referral,Interview
A0093,S007,C086,2025-03-22,Company Website,Shortlisted
A0094,S050,C066,2025-11-23,Company Website,Applied
A0095,S296,C052,2025-10-26,Naukri,Interview
A0096,S182,C009,2025-04-07,Referral,Rejected
A0097,S272,C004,2025-02-08,Company Website,Applied
A0098,S009,C084,2025-08-09,Internshala,Shortlisted
A0099,S373,C007,2025-07-03,Internshala,Selected
A0100,S404,C022,2025-01-10,Naukri,Shortlisted
