Offer_ID,Application_ID,Offer_Date,Stipend,Accepted
O0001,A2547,2025-01-06,12000,Yes
O0002,A0090,2025-02-08,10000,Yes
O0003,A0780,2025-02-10,20000,No
O0004,A1334,2025-12-21,10000,No
O0005,A0636,2025-01-17,5000,No
O0006,A0942,2025-06-17,12000,Yes
O0007,A1065,2025-03-19,12000,No
O0008,A0170,2025-12-10,5000,Yes
O0009,A0887,2025-12-29,12000,Yes
O0010,A2490,2025-05-24,25000,Yes
O0011,A0570,2025-11-08,8000,No
O0012,A2669,2025-07-28,5000,No
O0013,A2460,2025-09-16,25000,Yes
O0014,A0812,2025-07-19,25000,No
O0015,A0206,2025-02-19,12000,No
O0016,A2011,2025-06-18,25000,No
O0017,A0545,2025-09-23,15000,Yes
O0018,A1707,2025-03-07,25000,No
O0019,A0274,2025-04-08,8000,No
O0020,A1950,2025-10-06,5000,Yes
O0021,A0758,2025-02-13,12000,Yes
O0022,A1544,2025-10-31,5000,Yes
O0023,A2977,2025-10-26,25000,Yes
O0024,A0359,2025-09-21,15000,Yes
O0025,A1567,2025-01-03,8000,No
O0026,A0932,2025-07-26,12000,Yes
O0027,A2222,2025-08-19,20000,No
O0028,A0240,2025-07-20,20000,Yes
O0029,A2031,2025-04-26,10000,Yes
O0030,A0718,2025-07-01,10000,No
O0031,A0597,2025-01-01,20000,No
O0032,A2615,2025-11-15,8000,No
O0033,A2536,2025-10-24,10000,Yes
O0034,A1872,2025-07-24,15000,Yes
O0035,A2885,2025-09-08,20000,Yes
O0036,A0024,2025-02-01,15000,Yes
O0037,A1071,2025-08-05,25000,No
O0038,A2240,2025-05-18,5000,Yes
O0039,A0498,2025-10-17,25000,Yes
O0040,A1887,2025-07-01,15000,No
O0041,A1746,2025-11-05,5000,No
O0042,A0291,2025-10-16,25000,Yes
O0043,A2207,2025-03-05,5000,Yes
O0044,A1333,2025-02-16,15000,Yes
O0045,A0873,2025-01-26,8000,No
O0046,A2133,2025-11-19,20000,Yes
O0047,A1643,2025-12-13,10000,No
O0048,A1654,2025-03-19,15000,No
O0049,A2678,2025-03-23,8000,No
O0050,A1485,2025-03-06,12000,No
O0051,A2646,2025-06-05,20000,Yes
O0052,A2763,2025-12-08,12000,Yes
O0053,A2390,2025-06-30,20000,Yes
O0054,A2518,2025-08-05,5000,Yes
O0055,A1944,2025-04-08,8000,Yes
O0056,A0005,2025-04-21,12000,No
O0057,A1142,2025-11-22,25000,No
O0058,A2046,2025-01-09,15000,No
O0059,A0268,2025-01-20,5000,No
O0060,A1285,2025-09-01,20000,Yes
O0061,A2137,2025-02-17,25000,Yes
O0062,A1024,2025-03-28,12000,Yes
O0063,A2804,2025-12-30,25000,No
O0064,A1379,2025-12-22,25000,No
O0065,A1505,2025-12-29,8000,Yes
O0066,A2067,2025-11-22,5000,No
O0067,A0752,2025-11-17,25000,Yes
O0068,A1855,2025-11-10,12000,No
O0069,A1252,2025-05-10,15000,No
O0070,A1329,2025-10-07,25000,No
O0071,A1848,2025-03-22,20000,Yes
O0072,A0055,2025-10-23,15000,Yes
O0073,A2591,2025-11-18,8000,No
O0074,A0163,2025-11-05,5000,No
O0075,A0709,2025-09-17,8000,Yes
O0076,A1569,2025-10-11,20000,No
O0077,A1367,2025-04-09,25000,No
O0078,A1730,2025-09-09,25000,Yes
O0079,A1483,2025-02-11,20000,No
O0080,A2990,2025-03-07,8000,Yes
O0081,A2948,2025-06-25,8000,No
O0082,A0515,2025-08-31,25000,No
O0083,A1324,2025-01-23,5000,Yes
O0084,A0982,2025-03-08,25000,Yes
O0085,A2522,2025-04-21,15000,Yes
O0086,A2681,2025-08-14,25000,No
O0087,A2164,2025-09-20,10000,No
O0088,A0260,2025-04-10,5000,No
O0089,A2711,2025-11-21,20000,Yes
O0090,A2933,2025-08-03,8000,No
O0091,A0485,2025-07-19,25000,Yes
O0092,A2456,2025-12-18,12000,Yes
O0093,A2143,2025-06-14,12000,No
O0094,A0373,2025-07-11,15000,Yes
O0095,A2986,2025-02-01,10000,Yes
O0096,A2276,2025-04-21,25000,Yes
O0097,A1064,2025-05-06,10000,Yes
O0098,A2984,2025-02-20,5000,No
O0099,A0902,2025-07-31,25000,Yes
O0100,A2329,2025-09-14,10000,Yes
O0101,A0079,2025-06-20,8000,Yes
O0102,A0371,2025-07-28,10000,No
O0103,A0459,2025-02-17,25000,Yes
O0104,A2150,2025-02-21,20000,Yes
O0105,A0247,2025-02-17,12000,Yes
O0106,A2328,2025-12-31,8000,Yes
O0107,A2499,2025-03-14,10000,Yes
O0108,A0043,2025-10-10,8000,No
O0109,A1193,2025-05-05,5000,Yes
O0110,A2242,2025-01-02,10000,Yes
O0111,A0819,2025-12-05,5000,No
O0112,A2438,2025-10-18,15000,Yes
O0113,A2449,2025-10-28,5000,No
O0114,A2766,2025-07-10,15000,Yes
O0115,A0479,2025-09-25,12000,No
O0116,A0043,2025-12-31,8000,Yes
O0117,A0042,2025-11-19,8000,Yes
O0118,A1869,2025-07-22,15000,No
O0119,A0998,2025-05-28,10000,No
O0120,A2856,2025-08-07,15000,No
O0121,A1277,2025-02-08,8000,No
O0122,A1605,2025-04-30,8000,No
O0123,A2431,2025-01-08,20000,Yes
O0124,A0679,2025-11-25,25000,No
O0125,A2646,2025-06-01,15000,No
O0126,A0413,2025-05-04,5000,Yes
O0127,A2097,2025-04-19,5000,No
O0128,A1537,2025-11-05,25000,Yes
O0129,A2608,2025-12-17,20000,Yes
O0130,A2432,2025-08-13,5000,Yes
O0131,A0827,2025-08-22,15000,Yes
O0132,A0473,2025-09-19,8000,Yes
O0133,A2146,2025-09-17,5000,Yes
O0134,A2783,2025-12-21,15000,No
O0135,A2886,2025-01-05,8000,No
O0136,A0085,2025-02-21,15000,Yes
O0137,A2476,2025-09-12,25000,No
O0138,A2362,2025-08-17,25000,Yes
O0139,A2889,2025-09-25,10000,Yes
O0140,A1781,2025-06-20,25000,Yes
O0141,A0074,2025-05-30,12000,No
O0142,A0323,2025-10-06,20000,Yes
O0143,A2416,2025-12-04,5000,No
O0144,A0274,2025-05-01,12000,No
O0145,A2976,2025-07-16,8000,No
O0146,A1086,2025-05-25,25000,No
O0147,A1512,2025-11-09,20000,Yes
O0148,A0346,2025-11-06,20000,No
O0149,A1814,2025-07-19,20000,Yes
O0150,A0994,2025-09-28,12000,Yes
O0151,A1518,2025-05-10,8000,No
O0152,A0519,2025-05-21,20000,Yes
O0153,A0341,2025-12-08,25000,No
O0154,A1922,2025-02-09,10000,Yes
O0155,A1581,2025-10-16,15000,No
O0156,A0490,2025-12-19,5000,No
O0157,A1612,2025-10-03,5000,No
O0158,A0899,2025-11-01,5000,No
O0159,A1907,2025-02-26,20000,Yes
O0160,A1623,2025-04-17,15000,No
O0161,A1458,2025-07-12,8000,Yes
O0162,A2165,2025-07-27,10000,Yes
O0163,A0337,2025-04-15,5000,No
O0164,A1973,2025-12-27,5000,Yes
O0165,A0723,2025-08-11,25000,No
O0166,A0473,2025-03-13,15000,Yes
O0167,A0628,2025-02-19,20000,No
O0168,A0781,2025-11-06,15000,No
O0169,A0669,2025-06-14,12000,Yes
O0170,A1731,2025-02-26,8000,Yes
O0171,A0330,2025-04-07,8000,No
O0172,A2345,2025-09-27,10000,No
O0173,A1659,2025-10-29,8000,No
O0174,A0222,2025-06-20,12000,Yes
O0175,A1443,2025-11-26,25000,No
O0176,A2129,2025-02-15,20000,No
O0177,A2374,2025-07-28,25000,Yes
O0178,A1923,2025-08-19,15000,Yes
O0179,A2518,2025-07-26,10000,Yes
O0180,A2246,2025-06-10,10000,No
O0181,A2567,2025-07-03,20000,Yes
O0182,A2130,2025-11-21,8000,No
O0183,A1442,2025-08-10,10000,Yes
O0184,A1733,2025-04-14,20000,Yes
O0185,A2139,2025-09-13,20000,No
O0186,A1651,2025-09-18,8000,Yes
O0187,A0029,2025-01-18,12000,Yes
O0188,A0150,2025-05-23,15000,Yes
O0189,A0948,2025-02-07,10000,No
O0190,A0115,2025-04-06,25000,No
